,Age,Cholesterol,Heart Rate,Diabetes,Family History,Smoking,Obesity,Alcohol Consumption,Exercise Hours Per Week,Previous Heart Problems,Medication Use,Stress Level,Sedentary Hours Per Day,Income,BMI,Physical Activity Days Per Week,Sleep Hours Per Day
PC1,0.0052032352213249675,-0.047687516570244046,0.03697630069873351,0.007651206435073005,0.0053793161493687165,0.010969030523812463,0.011729158633784188,0.004206747508392643,-0.012053653320397399,0.023487779719841975,0.004175553362933193,-0.03195614209701994,0.029687051566049,0.01860467095741131,0.035902208831917796,-0.03975513943758202,-0.008697930476247204
PC2,0.7006775626145223,0.05958536426016721,-0.021899553689284666,-0.010298887557602972,0.04572686112554645,0.7001956750131544,-0.005520376925840626,0.026128594719004156,0.009282196472420439,-0.016530371492375608,-0.0040917730904466544,0.04417063077836842,0.03895030063686894,0.00918679911027347,0.009857456376208213,-0.006098424824564434,-0.00934331465286517
PC3,0.02500915135327277,0.03307434025276431,0.05338433219197934,0.0027138595398315023,-0.031947163126192994,0.01918113788446751,-0.08588580261170042,-0.005684938215726386,-0.029729365891853654,-0.09946733194099085,0.023547071697874518,0.020137143765715095,-0.011296506834037733,0.028652212482864148,-0.020354670642320567,0.04962851481753444,0.06878284402938792
PC4,-0.03622343298086002,0.06819429587469013,0.13864484438416283,0.021099558270071726,-0.05164822403789223,-0.042611856447696,-0.09213427275044175,-0.04131617612021801,0.03567056723444189,-0.017445429615494296,0.22456474868227605,-0.07085028080156659,-0.05837752926467058,0.0281499461408595,-0.022775446372736735,-0.02763019008494133,-0.1151394155714127
PC5,0.0005484831260050626,0.15630112275164199,-0.0966529292815604,0.010762209774008165,0.04810599830825605,-0.0209538263864145,-0.0502624824506363,0.08035132505068596,0.14836268576941877,0.05950810608212511,-0.11328957783818264,-0.0475566000375242,-0.09441262277500348,-0.0674259397778105,0.2044964136702112,0.13128967100358355,0.06237485455196555
PC6,-0.0299500627889824,0.05876038745849048,0.04490929645456007,-0.005489562959449905,-0.12441201844730461,-0.02237684818177904,0.13682281975612012,0.006409764457717904,-0.06650316724733228,-0.22735483294334002,-0.04758225106839537,-0.0020472837888527145,0.003704479721326732,0.27644019129318825,-0.09095872221091432,-0.12078771069511576,-0.02574641562402265
PC7,-0.004022363691239324,0.2566063318629289,0.4854679907700221,0.13288760318341628,-0.1157622225484172,-0.0014708439275794207,-0.17618762865227178,0.0022133356690179624,0.37298711220369635,0.213602820704391,0.3941695049732711,0.009217666692684279,0.21800936428634826,-0.22867352091978355,0.18951964045764505,-0.14962264293976457,-0.18901933246726035
PC8,0.013524542729668408,0.07676365874708903,0.3126582709384828,0.21640382719814458,-0.3354123135787612,0.031456276530216286,0.11305249952705873,0.15744329686706715,-0.13581133389539396,0.12293693724049437,-0.07839102362217878,-0.2943765987404342,0.3062924321494564,0.24814346303201665,0.13656454676031413,0.15188634480490254,0.4794937866756253
PC9,0.004932964587085818,0.08243654164740763,0.10131828954290412,0.15418178025300336,-0.11397972167673462,-0.013510391669555507,0.4269027644893252,-0.25189574703657974,-0.1289904447835904,-0.335194299991366,0.1980976795981394,0.33853742237544426,0.2684296265106922,0.29560714811720384,-0.05870067425731139,-0.05407137901920483,-0.3138211912880246
PC10,-0.008643237937347888,0.5577404613689079,-0.22737308895114489,-0.18788073719208742,0.018500796077171353,-0.03488926685389931,-0.3334588611571546,-0.4117218091143596,-0.05101293833030166,-0.11954565030036118,-0.03222840296189884,-0.27779965159248055,0.3243060398415881,0.07774913726897204,-0.2677592922117851,0.08435284792613837,0.0977243860438222
PC11,0.031590578436260425,-0.12857320407298117,-0.14154344754153012,0.5192883635504166,-0.378651232244409,0.016139935655022798,-0.2253467295776466,0.06065606461988528,-0.29101817261028334,0.04669263734643243,0.008324306588593216,-0.05298223001930578,-0.04724836531920384,-0.20387233415519818,-0.38837889797251307,-0.36472669569165916,0.03593742225866615
PC12,-0.02896418934081573,0.24519084426221924,0.022362376198015215,0.10282446957467788,-0.2834869870503643,-0.017655779285728496,-0.13511294229843646,0.32940605484535074,-0.1975480547551853,-0.1551726796418657,-0.2428138416313293,0.20685886230861553,-0.0650623089982797,0.03615358552042557,0.23406032095368692,0.4893401034639108,-0.1835262819959013
PC13,0.01607505556065652,0.12106893780949927,0.07335576933489733,0.35356980536744215,0.2558497983676776,-0.0013012333312143443,0.2019989521340819,-0.22769158303611148,0.015199051921474981,0.4778389948880348,0.13228719509105824,0.050149550878801394,-0.31600152975835955,0.27734272765116086,-0.289220464410382,0.3567730776869962,0.1113862075286659
PC14,-0.011086936041075865,0.008137746241299098,-0.0628470902026766,0.12220019022934418,0.4723028086738969,-0.016220227287243504,-0.20926381704644742,0.3766865380517994,-0.4580606715365639,-0.03140722107868079,0.4026172984766054,-0.24603787014500983,0.1290058098507243,0.14802738169300042,0.07970641335878138,0.05380985105589595,-0.2448171627319347
PC15,-0.018432049816233708,-0.08287043396607927,-0.13105674283147292,0.44322522011795046,0.18181008703947416,0.0011483234668228433,0.1624614835040652,0.075476832107949,0.3757846580891576,-0.20027169768845404,-0.2252313870064586,-0.2019824342639496,0.32544619542564796,-0.30506264559571583,-0.205211690469804,0.31220330366668836,-0.23347452540709165
PC16,-0.022013842047328404,0.24209830020878112,-0.3179672721228769,0.16070040310707515,-0.058340885793986844,-0.029683105658587713,-0.2012169285943871,-0.026529700389446482,-0.05063084274249275,0.1553232674939874,0.14736466815753538,0.611769906470723,0.054798428605971373,-0.16424339769728133,0.07383840814489405,0.08243216279485635,0.10198565719118845
PC17,-0.04766466838108175,0.18892449599272176,-0.020672291417796886,-0.199384740780571,0.1913090432023974,-0.04681136397165099,0.20693992799297334,0.498853680958134,0.05358556308210124,0.2928172356352208,-0.1824872517547253,0.26042844277543287,0.39391310030192817,0.060245220327334405,-0.3197383551710028,-0.250031502731677,0.10619471458881538
PC18,-0.0308842976253905,-0.11911232414657452,-0.16121896346842166,0.21832341571702818,0.162596209763122,0.0005988452430933402,0.03396895508577921,-0.3507724864325989,-0.20482526506848925,0.3154874126854471,-0.3092973541658713,-0.009156419985765859,0.3248062670818065,0.0405451896277214,0.5318611158005705,-0.21114633738702784,-0.08954318107456674
PC19,-0.0031596771293321098,-0.06388376216302223,-0.15995814545702777,0.13276568277475653,-0.10311130558083335,0.007166636201907187,-0.3760692574733922,0.1269610331198154,0.43054023659951557,0.08819619347684345,-0.16491015354370164,-0.00785358524144964,-0.06743485079333113,0.6468573806228016,0.0023197410517788344,-0.1638035640445518,-0.27255431426434595
PC20,-0.0034361035334806314,-0.36670952491684755,0.0811457747309198,0.13308360693956392,0.25233929564080115,-0.031843316482866035,-0.31318392601066347,-0.04568423697898736,0.1657125498827246,-0.33784200792553276,0.1512826749057366,0.28551501048618666,0.22763332730384964,0.13588779151969924,0.02778761814612742,0.09689825371075357,0.5043767690143787
PC21,-0.0208113593920552,0.4740511134100888,0.008386178678700085,0.3297824384172944,0.2889448748956889,-0.02227154208395209,0.15015844089952524,0.10262003716645106,0.09374845952834913,-0.3432764726665823,-0.10928808901298429,-0.04359358725588411,-0.3369105957200025,-0.012493058649214604,0.2127204464366062,-0.39559101043018274,0.2393104647196411
